Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
FDA43,10.895,low fat,0.064663519,Fruits and Vegetables,194.0794,OUT035,2004,Small,Tier 2,Supermarket Type1
NCE55,8.92,Low Fat,0,Household,178.137,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCS54,13.6,Low Fat,0.010049688,Household,174.937,OUT017,2007,,Tier 2,Supermarket Type1
FDK57,10.195,Low Fat,0.080417724,Snack Foods,121.244,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDR56,15.5,Regular,0.100970195,Fruits and Vegetables,195.8768,OUT045,2002,,Tier 2,Supermarket Type1
FDB47,8.8,Low Fat,0.07157425,Snack Foods,207.9612,OUT045,2002,,Tier 2,Supermarket Type1
FDY32,7.605,Low Fat,0.129972082,Fruits and Vegetables,162.921,OUT017,2007,,Tier 2,Supermarket Type1
FDG34,11.5,Regular,0.037628842,Snack Foods,109.5254,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCF18,18.35,Low Fat,0.088965771,Household,189.8504,OUT035,2004,Small,Tier 2,Supermarket Type1
NCH55,16.35,Low Fat,0.03466576,Household,125.902,OUT035,2004,Small,Tier 2,Supermarket Type1
FDS44,12.65,Regular,0.156014453,Fruits and Vegetables,238.9538,OUT035,2004,Small,Tier 2,Supermarket Type1
DRE01,10.1,LF,0.167836117,Soft Drinks,241.0512,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDY32,7.605,Low Fat,0.129767515,Fruits and Vegetables,161.821,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDU57,8.27,Regular,0.089693419,Snack Foods,152.2708,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY46,18.6,Low Fat,0.047987061,Snack Foods,186.8898,OUT045,2002,,Tier 2,Supermarket Type1
